ΠΡΟΤΕΡΑΙΟΤΗΤΑ;ΣΥΝΕΡΓΕΙΟ;ΕΝΩΘΗΚΑΝ ΑΠΟ;ΓΡΑΜΜΕΣ;ΚΟΣΤΟΣ EUR;ΦΟΡΤΗΓΑ;ΡΥΜΟΥΛΚΟΥΜΕΝΑ;ΠΕΡΙΟΔΟΣ;ΕΙΔΙΚΟΤΗΤΑ;ΑΦΜ;ΕΠΩΝΥΜΙΑ;ΤΗΛΕΦΩΝΟ;ΕΔΡΑ;ΧΩΡΑ (GR/BG);ΕΠΙΒΕΒΑΙΩΣΕ
;ΚΑΡΑΜΙΧΑΗΛΙΔΗΣ;ΚΑΡΑΜΙΧΑΗΛΙΔΗΣ (7) | ΚΑΡΑΜΙΧΑΗΛΙΔΗΣ ΓΙΩΡΓΟΣ (2);9;5248.0;9;0;2024-01 - 2025-06;Σέρβις;;;;;;
;ΑΥΣΑΡΙΔΗΣ;ΑΥΣΑΡΙΔΗΣ (4) | ΑΦΣΑΡΙΔΗΣ (2) | ΑΦΟΙ ΑΥΣΑΡΙΔΗΣ (2) | ΑΔΕΡΦΟΙ ΑΥΣΑΡΙΔΗ (1);9;5227.0;2;7;2024-05 - 2026-02;Αμάξωμα, Πέταλο/κοτσαδούρα;;;;;;
;ΤΣΑΚΙΡΗΣ;ΤΣΑΚΙΡΗΣ (8) | ΤΣΑΚΙΡΗΣ ΟΕ (1);9;4970.0;9;0;2025-05 - 2026-11;Κινητήρας;;;;;;
;ΘΕΟΛΟΓΗΣ;;1;4850.0;0;1;2024-06 - 2024-06;Αμάξωμα;;;;;;
;ΚΑΤΣΑΜΑΚΙΔΗΣ;;20;4672.93;20;0;2024-03 - 2026-07;Έλεγχοι, Κινητήρας;;;;;;
;ΚΑΡΑΤΣΙΩΛΗΣ;;13;4061.28;2;11;2024-03 - 2025-11;Σέρβις, Ηλεκτρικά;;;;;;
;ΑΓΓΕΛΟΓΛΟΥ ΙΩΣΗΦ;;2;4000.0;0;2;2025-07 - 2025-07;;;;;;;
;ΒΑΣΙΛΕΙΟΥ;;4;3175.0;0;4;2024-06 - 2024-07;Φρένα/ανάρτηση, Κινητήρας;;;;;;
;ΧΑΣΑΠΗΣ;ΧΑΣΑΠΗΣ (5) | ΑΦΟΙ ΧΑΣΑΠΗ (3);8;2755.0;8;0;2024-10 - 2026-01;Έλεγχοι;;;;;;
;ΛΙΒΕΡΗΣ;;6;2677.65;6;0;2024-01 - 2024-03;Σέρβις;;;;;;
;ΠΑΠΑΛΕΞΙΟΥ;;4;2550.0;4;0;2025-07 - 2025-09;;;;;;;
;ΜΠΕΚΙΑΡΙΔΗΣ;ΜΠΕΚΙΑΡΙΔΗΣ ΑΓΓ (8) | ΜΠΕΚΑΡΙΔΗΣ ΑΓΓ. (2) | ΜΠΕΚΙΑΡΙΔΗΣ (2);12;1936.14;10;2;2024-01 - 2025-08;Ηλεκτρικά;;;;;;
;UNIVERZAL-PPEV DOOEL;;1;1899.94;1;0;2025-03 - 2025-03;;;;;;;
;ΚΟΥΤΣΑΝΤΩΝΗΣ;;2;1836.46;2;0;2025-10 - 2025-10;Ψύξη;;;;;;
;ΡΕΚΤΙΦΙΕ ΜΑΚΕΔΟΝΙΑ;;2;1792.0;2;0;2025-06 - 2025-06;;;;;;;
;ΕΡΓΟΤΡΑΚ;ΕΡΓΟΤΡΑΚ (5) | ERGOTRΑK (2);7;1401.73;7;0;2025-01 - 2025-11;Σέρβις;;;;;;
;ΚΟΝΤΟΔΗΜΗΤΡΙΟΥ;;2;1400.0;2;0;2026-06 - 2026-07;Ελαστικά;;;;;;
;ΠΑΝΑΓΙΩΤΙΔΗΣ;ΠΑΝΑΓΙΩΤΙΔΗΣ - ΣΒΟΥΡΑΣ (2) | ΠΑΝΑΓΙΩΤΙΔΗΣ (1);3;1325.0;3;0;2025-01 - 2025-09;Κινητήρας;;;;;;
;ΚΑΜΠΟΥΡΙΔΗΣ;;3;1270.0;3;0;2025-04 - 2025-11;Αμάξωμα;;;;;;
;auto color desigh;;2;1128.0;2;0;2025-05 - 2025-05;Αμάξωμα;;;;;;
;ΡΕΝΤΑΣ;;8;1020.0;5;3;2024-02 - 2025-03;Ηλεκτρικά;;;;;;
